sku,name,brand,price,color,frame,material,measure,sunglasses,woman
MU 04SV,MU 04SV,Miu Miu,241,nero,pillow,acetato,54-17,false,true
MU 06TV,MU 06TV,Miu Miu,190,bordeaux,cat-eye,acetato,50-18,false,true
CORE COLLECTION,Core Collection,Miu Miu,201,tartaruga,cat-eye,acetato,52-19,false,true
MU 01RV,Core Collection 01RV,Miu Miu,241,targaruga,cat-eye,acetato,52-18,false,true
MU 53TV,MU 53TV,Miu Miu,241,oro,Rotonda,metallo,51-19,false,true
MU 51SV,MU 51SV,Miu Miu,220,oro,cat-eye,metallo,54-18,false,true
MU 02SV,MU 02SV,Miu Miu,241,nero,cat-eye,acetato,53-16,false,true
MU 05RV,MU 05RV,Miu Miu,261,bianco,farfalla,acetato,53-18,false,true
